cluster,n,hemoglobin_min_mean,hemoglobin_min_median,hemoglobin_min_n,hemoglobin_min_pct_lt_7,hemoglobin_min_pct_lt_8,hemoglobin_min_pct_lt_9,hemoglobin_min_pct_lt_10,hemoglobin_pre_mean_mean,hemoglobin_pre_mean_median,hemoglobin_pre_mean_n,hemoglobin_pre_mean_pct_lt_7,hemoglobin_pre_mean_pct_lt_8,hemoglobin_pre_mean_pct_lt_9,hemoglobin_pre_mean_pct_lt_10
0,5789,9.348298497149766,8.5,5789,0.15667645534634653,0.3872862325099326,0.5793746761098635,0.6964933494558646,11.382587117174058,11.370175438596508,5789,0.006218690620141648,0.04353083434099154,0.13180169286577992,0.2665399896355156
1,10,10.05,9.0,10,0.0,0.2,0.5,0.6,10.9787198211774,10.284261089512437,10,0.0,0.0,0.1,0.4
2,4840,8.817004132231403,7.8,4840,0.281198347107438,0.5378099173553719,0.6960743801652892,0.7708677685950414,10.249415931818332,9.688485497531161,4840,0.016322314049586777,0.19504132231404958,0.38181818181818183,0.5483471074380165
