code,label,source,n_pairs,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,stability,subsample_lo,subsample_hi,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust
C2_renal_disease_mean_dbp_slope_high,Cluster 2 | renal disease > 0 and dbp slope > mediana_cluster (-0.0254),comorb_lab_vital,788,0.4619289340101523,0.4251269035532995,0.03680203045685279,-0.01272208121827411,0.08632614213197966,0.18453865336658354,1.0,0.012698412698412698,0.05837301587301588,9.089086294416244,8.0,0.28847533431962774,3.68,-1.27,8.63,3.68,False
C1_diabetes_without_cc_mean_glucose_lab_median_high,Cluster 1 | diabetes without cc > 0 and glucose lab median > mediana_cluster (126),comorb_lab_vital,436,0.5068807339449541,0.5435779816513762,-0.03669724770642202,-0.10550458715596331,0.034403669724770644,0.3092269326683292,0.972,-0.07098853868194842,-0.0006446991404011298,7.4465596330275226,7.1,0.4293291105413817,-3.67,-10.55,3.44,3.67,False
C1_renal_disease_mean_glucose_vital_median_high_hb_med,Cluster 1 | renal disease > 0 and glucose vital median > mediana_cluster (131) and hemoglobin_min <= mediana_hb_cluster (7.3),comorb_lab_vital,246,0.6300813008130082,0.5934959349593496,0.036585365853658534,-0.040853658536585354,0.11392276422764218,0.40648379052369077,0.936,-0.005076142131979695,0.08121827411167512,6.678861788617886,6.8,0.5296606967429911,3.66,-4.09,11.39,3.66,False
C2_diabetes_without_cc_mean_hemoglobin_min_high,Cluster 2 | diabetes without cc > 0 and hemoglobin min > mediana_cluster (8.6),comorb_lab_vital,711,0.36849507735583686,0.4050632911392405,-0.03656821378340366,-0.090014064697609,0.02253867791842472,0.14962593516209477,0.996,-0.05760105448154657,-0.014059753954305799,11.788045007032348,12.0,0.24486494739433823,-3.66,-9.0,2.25,3.66,False
C1_diabetes_with_cc_mean_glucose_vital_max_high,Cluster 1 | diabetes with cc > 0 and glucose vital max > mediana_cluster (179),comorb_lab_vital,247,0.5060728744939271,0.5425101214574899,-0.03643724696356275,-0.13775303643724696,0.0486842105263157,0.46384039900249374,0.916,-0.07575757575757576,0.010101010101010102,7.223076923076922,7.0,0.5888808146514329,-3.64,-13.78,4.87,3.64,False
C2_renal_disease_mean_platelets_std_high_hb_med,Cluster 2 | renal disease > 0 and platelets std > mediana_cluster (30.9) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,605,0.41652892561983473,0.45289256198347105,-0.03636363636363636,-0.09268595041322313,0.015082644628098985,0.24438902743142144,0.996,-0.06358471074380165,-0.006198347107438017,7.234380165289255,7.3,0.35649077895232417,-3.64,-9.27,1.51,3.64,False
C1_diabetes_without_cc_mean_sodium_min_high,Cluster 1 | diabetes without cc > 0 and sodium min > mediana_cluster (136),comorb_lab_vital,331,0.4954682779456193,0.5317220543806647,-0.03625377643504532,-0.10581570996978851,0.04833836858006042,0.38154613466334164,0.944,-0.07547169811320754,0.0037735849056603774,7.486706948640484,7.3,0.5035797960614478,-3.63,-10.58,4.83,3.63,False
C1_cerebrovascular_disease_mean_temperature_max_high,Cluster 1 | cerebrovascular disease > 0 and temperature max > mediana_cluster (37.5),comorb_lab_vital,277,0.5342960288808665,0.4981949458483754,0.036101083032490974,-0.05063176895306858,0.11561371841155227,0.42144638403990026,0.948,-0.007995495495495494,0.0845720720720721,7.447653429602888,7.2,0.5460399220289887,3.61,-5.06,11.56,3.61,False
C2_diabetes_without_cc_mean_platelets_slope_high_hb_med,Cluster 2 | diabetes without cc > 0 and platelets slope > mediana_cluster (-0.0704) and hemoglobin_min <= mediana_hb_cluster (8.6),comorb_lab_vital,305,0.4557377049180328,0.419672131147541,0.036065573770491806,-0.04926229508196721,0.1180327868852459,0.4239401496259352,0.936,-0.00819672131147541,0.07694672131147544,7.383934426229508,7.4,0.548313175213666,3.61,-4.93,11.8,3.61,False
C2_severe_liver_disease_mean_temperature_min_high,Cluster 2 | severe liver disease > 0 and temperature min > mediana_cluster (36.7),comorb_lab_vital,307,0.4820846905537459,0.44625407166123776,0.035830618892508145,-0.04234527687296417,0.10431596091205204,0.4239401496259352,0.972,0.0009146341463414656,0.07225609756097563,10.354071661237784,9.8,0.548313175213666,3.58,-4.23,10.43,3.58,False
