sign,n_pairs_union,dominant_k2,dominant_k2_pct,dominant_k3,dominant_k3_pct,k2_c0_pct,k2_c0_enrich_pp,k2_c1_pct,k2_c1_enrich_pp,k3_c0_pct,k3_c0_enrich_pp,k3_c1_pct,k3_c1_enrich_pp,k3_c2_pct,k3_c2_enrich_pp,k2_most_enriched_cluster,k2_most_enriched_pp,k3_most_enriched_cluster,k3_most_enriched_pp
benefit,7070,c0,85.57481351469943,c2,83.70996050899518,85.57481351469943,10.774339393798599,14.42518648530057,-10.7743393937986,1.7880649407634928,0.5000364935094428,14.501974550241334,-10.808179539051435,83.70996050899518,10.308143045541996,c0,10.774339393798599,c2,10.308143045541996
harm,3556,c0,52.5328330206379,c2,52.3217636022514,52.5328330206379,-22.267641100262928,47.467166979362105,22.267641100262935,0.04690431519699812,-1.2411241320570519,47.631332082551594,22.321177993258825,52.3217636022514,-21.080053861201783,c1,22.267641100262935,c1,22.321177993258825
