code,label,n_conditions,features_used,axes_used,n_axes,n_pairs,prevalence,mort_t,mort_c,diff,ci_lo,ci_hi,p_perm,score,hb_mean,hb_p50,q_fdr,diff_pp,ci_lo_pp,ci_hi_pp,abs_diff_pp,robust,signature,stability
R167-408-470,dbp_mean > q0.65 (70.6) AND platelets_slope <= q0.35 (-0.07924) AND resp_rate_delta > q0.65 (1.981),3,"dbp_mean,platelets_slope,resp_rate_delta","perfusion,organ_failure,respiratory",3,904,0.07143421572500988,0.21902654867256638,0.5110619469026548,-0.29203539823008845,-0.33432928487183505,-0.24974151158834185,9.902491362471772e-42,101.85390891400262,8.720907079646018,8.3,4.044679570587062e-41,-29.203539823008846,-33.4329284871835,-24.974151158834186,29.203539823008846,True,benefit | dbp > ; platelets <= ; resp_rate >,1.0
R288-556-646,lactate_std > q0.65 (0.3523) AND sodium_std <= q0.35 (0.2074) AND urea_std <= q0.35 (0.6436),3,"lactate_std,sodium_std,urea_std","perfusion,other,organ_failure",3,914,0.07222441722639274,0.22319474835886213,0.513129102844639,-0.28993435448577687,-0.3321097464595969,-0.24775896251195687,2.2247177760645872e-41,101.6788826944692,9.680087527352295,8.6,8.874390028318161e-41,-28.993435448577685,-33.21097464595969,-24.775896251195686,28.993435448577685,True,benefit | lactate > ; sodium <= ; urea <=,1.0
R352-491-646,mbp_median > q0.65 (89) AND resp_rate_std <= q0.35 (1.78) AND urea_std <= q0.35 (0.6436),3,"mbp_median,resp_rate_std,urea_std","perfusion,respiratory,organ_failure",3,2001,0.15811932042670881,0.2623688155922039,0.45827086456771615,-0.19590204897551228,-0.22502534445970215,-0.1667787534913224,1.0816294647430661e-39,101.65307298048995,11.460269865067467,14.0,3.8067056404792375e-39,-19.590204897551228,-22.502534445970216,-16.67787534913224,19.590204897551228,True,benefit | mbp > ; resp_rate <= ; urea <=,1.0
R171-491-536,dbp_median > q0.65 (72) AND resp_rate_std <= q0.35 (1.78) AND sbp_std <= q0.35 (8.594),3,"dbp_median,resp_rate_std,sbp_std","perfusion,respiratory,perfusion",2,2128,0.16815487949427105,0.25845864661654133,0.462406015037594,-0.20394736842105265,-0.23213880535786346,-0.17575593148424185,1.2294364916977637e-45,101.60794622883641,10.907471804511278,10.8,6.64560265782575e-45,-20.394736842105267,-23.213880535786345,-17.575593148424183,20.394736842105267,True,benefit | dbp > ; resp_rate <= ; sbp <=,1.0
R167-408-625,dbp_mean > q0.65 (70.6) AND platelets_slope <= q0.35 (-0.07924) AND temperature_min > q0.65 (36.89),3,"dbp_mean,platelets_slope,temperature_min","perfusion,organ_failure,metabolic",3,1089,0.08605294350059266,0.21854912764003673,0.4839302112029385,-0.2653810835629018,-0.30389690467000763,-0.22686526245579597,1.4659049631729713e-41,101.58787878787882,8.675941230486684,8.3,5.924912046274029e-41,-26.53810835629018,-30.38969046700076,-22.686526245579596,26.53810835629018,True,benefit | dbp > ; platelets <= ; temperature >,1.0
R195-284-359,glucose_lab_std <= q0.20 (0) AND lactate_slope > q0.65 (0.0002952) AND mbp_std <= q0.35 (7.214),3,"glucose_lab_std,lactate_slope,mbp_std","other,perfusion,perfusion",2,1108,0.08755432635322007,0.2157039711191336,0.4981949458483754,-0.28249097472924184,-0.3206135813408085,-0.2443683681176752,8.572063707460646e-48,101.55427564867506,9.398014440433213,8.4,5.493698287654337e-47,-28.249097472924184,-32.06135813408085,-24.43683681176752,28.249097472924184,True,benefit | glucose_lab <= ; lactate > ; mbp <=,1.0
R477-499,resp_rate_mean <= q0.35 (16.03) AND sapsii_mean <= q0.35 (34),2,"resp_rate_mean,sapsii_mean","respiratory,severity",2,1655,0.1307783484788621,0.18670694864048337,0.4169184290030212,-0.2302114803625378,-0.2604893515092086,-0.19993360921586698,3.1770603505875836e-50,101.14623746573238,10.387673716012086,9.4,2.3594046137526228e-49,-23.02114803625378,-26.04893515092086,-19.993360921586696,23.02114803625378,True,benefit | resp_rate <= ; sapsii <=,1.0
R171-261-603,dbp_median > q0.65 (72) AND hemoglobin_slope <= q0.35 (-0.006063) AND spo2_slope > q0.65 (0.001268),3,"dbp_median,hemoglobin_slope,spo2_slope","perfusion,anemia,respiratory",3,1241,0.09806400632161201,0.2199838839645447,0.467365028203062,-0.24738114423851731,-0.2834611478483006,-0.21130114062873404,3.588574481821976e-41,101.0905301103996,8.344480257856567,8.2,1.399712978787321e-40,-24.73811442385173,-28.34611478483006,-21.130114062873403,24.73811442385173,True,benefit | dbp > ; hemoglobin <= ; spo2 >,1.0
R157-473,dbp_delta <= q0.35 (-8.606) AND resp_rate_max <= q0.35 (20),2,"dbp_delta,resp_rate_max","perfusion,respiratory",2,2823,0.2230738838403793,0.2681544456252214,0.4442082890541977,-0.1760538434289763,-0.2006104652241618,-0.15149722163379079,7.506629831654738e-45,101.02403371418721,10.51533829259653,9.7,3.859791934716089e-44,-17.60538434289763,-20.061046522416177,-15.149722163379078,17.60538434289763,True,benefit | dbp <= ; resp_rate <=,1.0
R352-491-627,mbp_median > q0.65 (89) AND resp_rate_std <= q0.35 (1.78) AND temperature_std <= q0.35 (0.1001),3,"mbp_median,resp_rate_std,temperature_std","perfusion,respiratory,metabolic",3,1865,0.14737258000790202,0.2611260053619303,0.46273458445040216,-0.20160857908847185,-0.23176687828285392,-0.17145027989408979,3.1807339106920657e-39,100.99652148072441,10.865576407506701,10.5,1.0871099989401284e-38,-20.160857908847184,-23.17668782828539,-17.14502798940898,20.160857908847184,True,benefit | mbp > ; resp_rate <= ; temperature <=,1.0
