sign,bases,n_rules,n_pairs_union,diff_med_pp,diff_min_pp,diff_max_pp,dominant_k2,dominant_k2_pct,dominant_k3,dominant_k3_pct,k2_c0_pct,k2_c0_enrich_pp,k2_c1_pct,k2_c1_enrich_pp,k3_c0_pct,k3_c0_enrich_pp,k3_c1_pct,k3_c1_enrich_pp,k3_c2_pct,k3_c2_enrich_pp,k2_most_enriched_cluster,k2_most_enriched_pp,k3_most_enriched_cluster,k3_most_enriched_pp
benefit,dbp + hemoglobin + spo2,4,1896,-26.29162564063723,-29.770387965162318,-24.73811442385173,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + spo2,4,1875,-26.016219118168564,-28.814872192099152,-24.63054187192118,c0,99.77558348294434,c2,99.77558348294434,99.77558348294434,24.97510936204351,0.2244165170556553,-24.975109362043515,0.0,-1.28802844725405,0.2244165170556553,-25.085737572237115,99.77558348294434,26.373766019491157,c0,24.97510936204351,c2,26.373766019491157
benefit,dbp + hemoglobin + mbp,4,1860,-27.60781918898339,-29.809523809523807,-27.096057745696832,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + platelets + resp rate,4,1806,-28.349589540325923,-29.20353982300885,-26.7379679144385,c0,99.71857410881802,c2,99.71857410881802,99.71857410881802,24.918099987917188,0.28142589118198874,-24.91809998791718,0.0,-1.28802844725405,0.28142589118198874,-25.02872819811078,99.71857410881802,26.316756645364833,c0,24.918099987917188,c2,26.316756645364833
benefit,dbp + platelets + temperature,4,1282,-24.608302666134062,-26.53810835629018,-23.87459807073955,c0,99.73172367538564,c2,99.73172367538564,99.73172367538564,24.931249554484808,0.2682763246143528,-24.93124955448482,0.0,-1.28802844725405,0.2682763246143528,-25.041877764678418,99.73172367538564,26.329906211932453,c0,24.931249554484808,c2,26.329906211932453
benefit,dbp + glucose lab + spo2,3,2386,-20.827456511518573,-22.25219150370869,-19.47261663286004,c0,100.0,c2,95.78030810448762,100.0,25.19952587909917,0.0,-25.19952587909917,4.219691895512391,2.9316634482583415,0.0,-25.31015408929277,95.78030810448762,22.378490641034432,c0,25.19952587909917,c2,22.378490641034432
benefit,dbp + mbp,2,3336,-16.637680167736733,-16.827503015681543,-16.447857319791925,c0,95.46218487394958,c2,92.62905162064826,95.46218487394958,20.66171075304875,4.53781512605042,-20.66171075304875,2.8331332533013205,1.5451048060472705,4.53781512605042,-20.772338963242348,92.62905162064826,19.22723415719507,c0,20.66171075304875,c2,19.22723415719507
benefit,dbp + heart rate,2,2758,-18.421981930484765,-19.238095238095244,-17.605868622874286,c0,98.77408056042032,c2,96.20548744892002,98.77408056042032,23.973606439519486,1.2259194395796849,-23.973606439519486,2.568593111500292,1.280564664246242,1.2259194395796849,-24.084234649713085,96.20548744892002,22.80366998546684,c0,23.973606439519486,c2,22.80366998546684
benefit,dbp + glucose lab,2,2756,-18.60662375271312,-18.674105677715787,-18.53914182771045,c0,99.88610478359908,c2,96.29840546697038,99.88610478359908,25.08563066269825,0.11389521640091116,-25.085630662698257,3.5876993166287017,2.2996708693746517,0.11389521640091116,-25.196258872891857,96.29840546697038,22.896588003517195,c0,25.08563066269825,c2,22.896588003517195
benefit,dbp + resp rate,2,2625,-18.322388094047295,-19.03939184519696,-17.60538434289763,c0,99.48075748320097,c2,96.09040928527794,99.48075748320097,24.680283362300145,0.5192425167990227,-24.68028336230015,3.39034819792303,2.10231975066898,0.5192425167990227,-24.790911572493748,96.09040928527794,22.688591821824758,c0,24.680283362300145,c2,22.688591821824758
benefit,dbp + glucose lab + mbp,2,2401,-19.774165480145545,-19.92248062015504,-19.62585034013605,c0,99.89996665555185,c2,95.96532177392464,99.89996665555185,25.09949253465102,0.10003334444814939,-25.09949253465102,3.934644881627209,2.646616434373159,0.10003334444814939,-25.21012074484462,95.96532177392464,22.56350431047146,c0,25.09949253465102,c2,22.56350431047146
benefit,dbp + lactate,2,2281,-22.163708801158997,-23.19610447100487,-21.131313131313128,c0,97.24537876042044,c2,97.20913374411019,97.24537876042044,22.444904639519606,2.7546212395795577,-22.444904639519613,0.0,-1.28802844725405,2.790866255889815,-22.519287833402956,97.20913374411019,23.807316280657005,c0,22.444904639519606,c2,23.807316280657005
benefit,glucose lab + heart rate + spo2,2,2204,-21.708192666513177,-22.48394004282655,-20.93244529019981,c0,99.78142076502732,c2,95.95628415300547,99.78142076502732,24.98094664412649,0.2185792349726776,-24.980946644126494,3.825136612021858,2.537108164767808,0.2185792349726776,-25.091574854320093,95.95628415300547,22.554466689552285,c0,24.98094664412649,c2,22.554466689552285
benefit,dbp + platelets,2,2185,-23.56466913332642,-23.98884239888424,-23.1404958677686,c0,99.08918406072105,c2,99.08918406072105,99.08918406072105,24.288709939820222,0.9108159392789373,-24.288709939820233,0.0,-1.28802844725405,0.9108159392789373,-24.399338150013833,99.08918406072105,25.687366597267868,c0,24.288709939820222,c2,25.687366597267868
benefit,dbp + hemoglobin,2,2175,-23.400435480691158,-23.734324198792383,-23.06654676258993,c0,99.96125532739248,c2,99.96125532739248,99.96125532739248,25.16078120649165,0.03874467260751647,-25.160781206491652,0.0,-1.28802844725405,0.03874467260751647,-25.271409416685252,99.96125532739248,26.559437863939294,c0,25.16078120649165,c2,26.559437863939294
benefit,dbp + glucose lab + heart rate,2,2153,-21.565177341306004,-21.800947867298586,-21.32940681531342,c0,99.88674971687429,c2,96.56474141185353,99.88674971687429,25.08627559597346,0.11325028312570783,-25.08627559597346,3.3220083050207627,2.0339798577667128,0.11325028312570783,-25.19690380616706,96.56474141185353,23.162923948400348,c0,25.08627559597346,c2,23.162923948400348
benefit,dbp + glucose lab + resp rate,2,2107,-20.212981248301478,-20.589473684210528,-19.836488812392428,c0,100.0,c2,95.75363427697016,100.0,25.19952587909917,0.0,-25.19952587909917,4.2463657230298395,2.9583372757757895,0.0,-25.31015408929277,95.75363427697016,22.351816813516976,c0,25.19952587909917,c2,22.351816813516976
benefit,dbp + hemoglobin + platelets,2,1852,-25.245249923252413,-25.85737615677736,-24.633123689727466,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + hemoglobin + lactate,2,1674,-26.57163759830795,-27.159023228111973,-25.984251968503933,c0,99.94863893168979,c2,99.94863893168979,99.94863893168979,25.148164810788955,0.05136106831022085,-25.14816481078895,0.0,-1.28802844725405,0.05136106831022085,-25.258793020982548,99.94863893168979,26.5468214682366,c0,25.148164810788955,c2,26.5468214682366
benefit,glucose lab + mbp + temperature,2,1655,-19.427555150601883,-19.500271591526342,-19.35483870967742,c0,99.66068831798351,c2,93.65002423654872,99.66068831798351,24.860214197082684,0.3393116820164809,-24.86021419708269,6.010664081434804,4.7226356341807545,0.3393116820164809,-24.97084240727629,93.65002423654872,20.248206773095532,c0,24.860214197082684,c2,20.248206773095532
benefit,mbp + platelets + spo2,2,1647,-27.157232815338755,-29.43485086342229,-24.87961476725522,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,mbp + resp rate + temperature,2,1600,-20.171649022838643,-20.182440136830103,-20.160857908847184,c0,99.58995386981036,c2,93.23423885187083,99.58995386981036,24.789479748909528,0.4100461301896463,-24.789479748909525,6.355715017939518,5.067686570685469,0.4100461301896463,-24.900107959103124,93.23423885187083,19.832421388417643,c0,24.789479748909528,c2,19.832421388417643
benefit,glucose lab + lactate + spo2,2,1590,-28.625924939682232,-29.86798679867987,-27.383863080684595,c0,99.89462592202318,c2,99.89462592202318,99.89462592202318,25.09415180112235,0.10537407797681769,-25.09415180112235,0.0,-1.28802844725405,0.10537407797681769,-25.20478001131595,99.89462592202318,26.492808458569996,c0,25.09415180112235,c2,26.492808458569996
benefit,dbp + glucose lab + lactate,2,1587,-29.486462154685153,-29.732802728823195,-29.24012158054711,c0,99.8931623931624,c2,99.8931623931624,99.8931623931624,25.09268827226157,0.10683760683760685,-25.09268827226156,0.0,-1.28802844725405,0.10683760683760685,-25.20331648245516,99.8931623931624,26.491344929709214,c0,25.09268827226157,c2,26.491344929709214
benefit,glucose lab + lactate + resp rate,2,1571,-27.98482115287732,-29.18238993710692,-26.78725236864772,c0,99.89299090422686,c2,99.89299090422686,99.89299090422686,25.092516783326033,0.1070090957731407,-25.09251678332603,0.0,-1.28802844725405,0.1070090957731407,-25.20314499351963,99.89299090422686,26.49117344077368,c0,25.092516783326033,c2,26.49117344077368
benefit,mbp + platelets + resp rate,2,1561,-28.465376588882563,-29.216467463479415,-27.714285714285715,c0,99.94432071269487,c2,99.94432071269487,99.94432071269487,25.143846591794045,0.05567928730512249,-25.14384659179405,0.0,-1.28802844725405,0.05567928730512249,-25.254474801987648,99.94432071269487,26.54250324924169,c0,25.143846591794045,c2,26.54250324924169
benefit,dbp + hemoglobin + resp rate,2,1555,-28.95072947437256,-29.573590096286107,-28.327868852459016,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,glucose lab + lactate + mbp,2,1487,-28.69171291556657,-29.13432835820895,-28.249097472924184,c0,99.8840579710145,c2,99.8840579710145,99.8840579710145,25.08358385011367,0.11594202898550725,-25.083583850113662,0.0,-1.28802844725405,0.11594202898550725,-25.19421206030726,99.8840579710145,26.482240507561315,c0,25.08358385011367,c2,26.482240507561315
benefit,glucose lab + platelets + spo2,2,1458,-30.189271324697902,-32.159847764034254,-28.21869488536155,c0,99.94165694282381,c2,99.94165694282381,99.94165694282381,25.141182821922982,0.05834305717619603,-25.141182821922975,0.0,-1.28802844725405,0.05834305717619603,-25.251811032116574,99.94165694282381,26.539839479370627,c0,25.141182821922982,c2,26.539839479370627
benefit,glucose lab + platelets + resp rate,2,1442,-31.121361746361746,-31.185031185031185,-31.057692307692307,c0,99.9406528189911,c2,99.9406528189911,99.9406528189911,25.140178698090267,0.05934718100890207,-25.140178698090267,0.0,-1.28802844725405,0.05934718100890207,-25.250806908283867,99.9406528189911,26.538835355537913,c0,25.140178698090267,c2,26.538835355537913
benefit,glucose lab + hemoglobin + spo2,2,1441,-30.750286016016894,-33.59148112294288,-27.90909090909091,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + glucose lab + platelets,2,1435,-32.191963813353084,-32.88461538461539,-31.49931224209078,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
benefit,dbp + glucose lab + hemoglobin,2,1406,-32.65778679486614,-32.91139240506329,-32.40418118466899,c0,100.0,c2,100.0,100.0,25.19952587909917,0.0,-25.19952587909917,0.0,-1.28802844725405,0.0,-25.31015408929277,100.0,26.598182536546815,c0,25.19952587909917,c2,26.598182536546815
