k,n_samples,inertia,silhouette,status
2,10639,1713451.5876986834,0.4210656920445128,ok
3,10639,1567956.1045049762,0.43853698253859463,ok
4,10639,1441708.0411069836,0.25412541445035947,ok
5,10639,1374246.0316396586,0.1518399369625176,ok
6,10639,1318804.2117060008,0.14951833657483665,ok
